ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTDecoratorFairBranchProgress,0,1161,1161,0,3
BTFlowNodeComposite,0,2322,4,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,0,0,0,0,0
DecoratorExclusiveBranchGate,384,5787,2322,3465,384
DecoratorLowestCostExecution,0,0,0,0,0
DecoratorPlanningComplete,384,5799,5787,12,384
DecoratorRetryOnFailure,384,5787,5787,0,384
DynamicFlowNode,0,5799,384,0,0
FlowNode,388,0,0,0,388
GenericBTAction,1155,1938,1155,0,1155
ServiceBatchEntry,0,1161,1161,0,3
ServicePDDLPlanning,0,5799,5799,0,384
ServicePlanningPhaseManager,0,1161,1161,0,3
ServiceSubtreeInject,1155,1938,1938,0,1155
TOTAL,3850,38652,26659,3477,4243
