ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,2408,4,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,372,4689,3576,1113,372
DecoratorExclusiveBranchGate,372,3576,1299,2277,372
DecoratorLowestCostExecution,372,1299,1152,147,372
DecoratorPlanningComplete,384,9505,9493,12,384
DecoratorResetOnSubtreeSuccess,372,4689,4689,0,372
DecoratorRetryOnFailure,384,9493,9493,0,384
DynamicFlowNode,0,9505,487,0,0
FlowNode,388,0,0,0,388
GenericBTAction,6548,5469,1152,0,6548
ServiceBatchEntry,0,1204,1204,0,3
ServicePDDLPlanning,0,9505,9505,0,384
ServicePlanningPhaseManager,0,1204,1204,0,3
ServiceSubtreeInject,6551,5469,5469,0,6551
TOTAL,15743,68015,48727,3549,16133
