ComponentType,InstanceCount,TickCount,SuccessCount,FailureCount,AdditionCount
BTFlowNodeComposite,0,22,2,0,0
CallGOAPPlanner,0,0,0,0,0
CallSCPlanner,0,0,0,0,0
DecoratorDynamicPlanningComplete,2,9,9,0,2
DecoratorExclusiveBranchGate,2,9,9,0,2
DecoratorLowestCostExecution,2,9,9,0,2
DecoratorPlanningComplete,3,20,19,1,3
DecoratorResetOnSubtreeSuccess,2,9,9,0,2
DecoratorRetryOnFailure,3,19,19,0,3
DynamicFlowNode,0,20,3,0,0
FlowNode,5,0,0,0,5
GenericBTAction,9,16,9,0,9
ServiceBatchEntry,0,11,11,0,1
ServicePDDLPlanning,0,20,20,0,3
ServicePlanningPhaseManager,0,11,11,0,1
ServiceSubtreeInject,9,16,16,0,9
TOTAL,37,191,146,1,42
